first_name,last_name,year,place,county,collection,transcript_url
Robert,Anderson,1596,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013475
Robert,Anderson,1596-97,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013478
Thomas,Anderson,1589-90,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013473
William,Anderson,1576,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013464
William,Anderson,1578,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013465
William,Anderson,1595,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013474
William,Anderson,1598,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013479
David,Andrew,1596,Glasgow,Lanarkshire,Incorporation Of Skinners Of Glasgow Past Deacons & Collectors,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F1031576
David,Andrew,1597,Glasgow,Lanarkshire,Incorporation Of Skinners Of Glasgow Past Deacons & Collectors,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F1031577
Robert,Andrew,1581,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013657
David,Andro,1595,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013669
William,Arthour,1578,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0013861
Gilbert,Auldcorn,1577,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014000
Gilbert,Auldcorn,1599,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014001
John,Baba,1584-85,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014039
Alexander,Baillie,1585,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014075
Thomas,Baillie,1595-96,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014076
James,Baird,1590,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014217
Matthew,Ballantyne,1582,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014360
James,Bannatyne,1589,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014471
Archibald,Bar,1576,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014506
James,Bar,1590,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014509
John,Bar,1575,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014505
Patrick,Bar,1574-75,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014504
Peter,Bar,1573-74,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014503
Robert,Bar,1578-79,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014507
Thomas,Bar,1584,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014508
John,Barnes,1588-89,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014624
Blais,Barrie,1581-82,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014733
James,Bautie,1576,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0014811
James,Bell,1589,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015046
James,Bell,1590,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015047
Patrick,Bell,1596,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015048
Matthew,Bigard,—,Glasgow,Lanarkshire,Incorporation Of Skinners Of Glasgow Past Deacons & Collectors,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F1031877
David,Bigart,1577-78,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015186
David,Bigart,1581,Glasgow,Lanarkshire,Incorporation Of Skinners Of Glasgow Past Deacons & Collectors,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F1031878
David,Biggart,1574,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015198
John,Biggart,1576-77,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015199
Francis,Biscume,1584-85,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015284
James,Black,1596,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015368
James,Blackburn,1575,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015404
Andrew,Blackwood,1595,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015443
James,Blair,1583-84,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015530
John,Blair,1583,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015528
Robert,Blair,1583,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015529
Robert,Blair,1584,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015531
Matthew,Blak,1574-75,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015602
James,Bogil,1579,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015651
John,Bogil,1580,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015652
John,Bogill,1575,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015653
William,Bogle,1584,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015702
Mark,Bogyll,1588-89,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015747
John,Boill,1576,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015755
Hercules,Bowey,1597,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0015884
James,Boyd,1576-77,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016039
John,Boyd,1581,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016041
John,Boyd,1582,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016042
John,Boyd,1584,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016043
John,Boyd,1584,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016044
John,Boyd,1595,Glasgow,Lanarkshire,Incorporation Of Masons Of Glasgow Members 1574-1950,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F1029046
John,Boyd,1595,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016045
John,Boyd,1599,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016046
Ninian,Boyd,1576,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016038
Robert,Boyd,1573,Glasgow,Lanarkshire,List Of Provosts And Lords Provost Of Glasgow From 1450 To 1952,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F1032037
Robert,Boyd,1574,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016037
Robert,Boyd,1580,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016040
James,Bradie,1583,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016156
David,Brady,1574,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016160
Andrew,Braidwode,1584,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016169
John,Brain,1594,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016186
Archibald,Brewhous,1578,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016240
Archibald,Brewhous,1589,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016241
James,Briscat,1576,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016276
Thomas,Briscatt,1594,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016277
Richard,Brok,1577,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016383
John,Brown,1585,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016748
John,Brown,1589-90,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016749
John,Brown,1595,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016750
Michael,Brown,1596,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016751
Robert,Brown,1584,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016747
Thomas,Brown,1573-74,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016746
Thomas,Browne,1580,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0016871
James,Bryss,1580-81,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0017140
Gilbert,Buchquhanan,1574,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0017504
John,Buntcyne,1580,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0017538
William,Bychart,1566,Glasgow,Lanarkshire,Incorporation Of Skinners Of Glasgow Past Deacons & Collectors,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F1032341
William,Bychart,1568,Glasgow,Lanarkshire,Incorporation Of Skinners Of Glasgow Past Deacons & Collectors,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F1032342
James,Byris,1575,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0017746
David,Calderwood,1574,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0017866
John,Caldwell,1599,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0017897
Dougall,Campbell,1575,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0018323
Duncan,Campbell,1580,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0018324
Duncan,Campbell,1581,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0018325
Robert,Campbell,1596,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0018326
Donald,Camroun,1580,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0018539
Andrew,Carmichael,1579,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0018615
James,Carruthers,1589-90,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0018686
John,Caulduell,1576,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0018797
Alexander,Chop,1588,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019000
John,Chrychtoune,1596,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019052
Allan,Clerk,1589,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019340
John,Clerk,1574-75,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019337
William,Clerk,1575,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019338
William,Clerk,1580,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019339
William,Cliddisdaill,1583,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019362
John,Clune,1584,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019385
William,Cocherane,1584,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019446
Alexander,Cochran,1588,Glasgow,Lanarkshire,Incorporation Of Skinners Of Glasgow Past Deacons & Collectors,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F1032623
Alexander,Cochran,1591,Glasgow,Lanarkshire,Incorporation Of Skinners Of Glasgow Past Deacons & Collectors,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F1032624
Alexander,Cochran,1592,Glasgow,Lanarkshire,Incorporation Of Skinners Of Glasgow Past Deacons & Collectors,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F1032625
Alexander,Cochrane,1580,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019489
Alexander,Cochrane,1583,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019492
John,Cochrane,1580,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019490
William,Cochrane,1582-83,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019491
William,Cochrane,1589-90,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019493
Murdoch,Cochrein,1595-96,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019535
John,Cochren,1596,Glasgow,Lanarkshire,Burgesses & Guild Brethren Of Glasgow 1573-1750,https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0019536
